keys,en,ja,fr,de,es,it,ko,zh_HK,zh
NAME_PkMn_POLIWHIRL,Poliwhirl,ニョロゾ,Têtarte,Quaputzi,Poliwhirl,Poliwhirl,슈륙챙이,蚊香君,蚊香君
NAME_PkMn_POLIWRATH,Poliwrath,ニョロボン,Tartard,Quappo,Poliwrath,Poliwrath,강챙이,蚊香泳士,蚊香泳士
NAME_PkMn_ABRA,Abra,ケーシィ,Abra,Abra,Abra,Abra,캐이시,凱西,凯西
NAME_PkMn_KADABRA,Kadabra,ユンゲラー,Kadabra,Kadabra,Kadabra,Kadabra,윤겔라,勇基拉,勇基拉
NAME_PkMn_ALAKAZAM,Alakazam,フーディン,Alakazam,Simsala,Alakazam,Alakazam,후디,胡地,胡地
NAME_PkMn_MACHOP,Machop,ワンリキー,Machoc,Machollo,Machop,Machop,알통몬,腕力,腕力
NAME_PkMn_MACHOKE,Machoke,ゴーリキー,Machopeur,Maschock,Machoke,Machoke,근육몬,豪力,豪力
NAME_PkMn_MACHAMP,Machamp,カイリキー,Mackogneur,Machomei,Machamp,Machamp,괴력몬,怪力,怪力
NAME_PkMn_BELLSPROUT,Bellsprout,マダツボミ,Chétiflor,Knofensa,Bellsprout,Bellsprout,모다피,喇叭芽,喇叭芽
NAME_PkMn_WEEPINBELL,Weepinbell,ウツドン,Boustiflor,Ultrigaria,Weepinbell,Weepinbell,우츠동,口呆花,口呆花
NAME_PkMn_VICTREEBEL,Victreebel,ウツボット,Empiflor,Sarzenia,Victreebel,Victreebel,우츠보트,大食花,大食花
NAME_PkMn_TENTACOOL,Tentacool,メノクラゲ,Tentacool,Tentacha,Tentacool,Tentacool,왕눈해,瑪瑙水母,玛瑙水母
NAME_PkMn_TENTACRUEL,Tentacruel,ドククラゲ,Tentacruel,Tentoxa,Tentacruel,Tentacruel,독파리,毒刺水母,毒刺水母
NAME_PkMn_GEODUDE,Geodude,イシツブテ,Racaillou,Kleinstein,Geodude,Geodude,꼬마돌,小拳石,小拳石
NAME_PkMn_GRAVELER,Graveler,ゴローン,Gravalanch,Georok,Graveler,Graveler,데구리,隆隆石,隆隆石
NAME_PkMn_GOLEM,Golem,ゴローニャ,Grolem,Geowaz,Golem,Golem,딱구리,隆隆岩,隆隆岩
NAME_PkMn_PONYTA,Ponyta,ポニータ,Ponyta,Ponyta,Ponyta,Ponyta,포니타,小火馬,小火马
NAME_PkMn_RAPIDASH,Rapidash,ギャロップ,Galopa,Gallopa,Rapidash,Rapidash,날쌩마,烈焰馬,烈焰马
NAME_PkMn_SLOWPOKE,Slowpoke,ヤドン,Ramoloss,Flegmon,Slowpoke,Slowpoke,야돈,呆呆獸,呆呆兽
NAME_PkMn_SLOWBRO,Slowbro,ヤドラン,Flagadoss,Lahmus,Slowbro,Slowbro,야도란,呆殼獸,呆壳兽
NAME_PkMn_MAGNEMITE,Magnemite,コイル,Magnéti,Magnetilo,Magnemite,Magnemite,코일,小磁怪,小磁怪
NAME_PkMn_MAGNETON,Magneton,レアコイル,Magnéton,Magneton,Magneton,Magneton,레어코일,三合一磁怪,三合一磁怪
NAME_PkMn_FARFETCHD,Farfetch'd,カモネギ,Canarticho,Porenta,Farfetch'd,Farfetch'd,파오리,大蔥鴨,大葱鸭
NAME_PkMn_DODUO,Doduo,ドードー,Doduo,Dodu,Doduo,Doduo,두두,嘟嘟,嘟嘟
NAME_PkMn_DODRIO,Dodrio,ドードリオ,Dodrio,Dodri,Dodrio,Dodrio,두트리오,嘟嘟利,嘟嘟利
NAME_PkMn_SEEL,Seel,パウワウ,Otaria,Jurob,Seel,Seel,쥬쥬,小海獅,小海狮
NAME_PkMn_DEWGONG,Dewgong,ジュゴン,Lamantine,Jugong,Dewgong,Dewgong,쥬레곤,白海獅,白海狮
NAME_PkMn_GRIMER,Grimer,ベトベター,Tadmorv,Sleima,Grimer,Grimer,질퍽이,臭泥,臭泥
NAME_PkMn_MUK,Muk,ベトベトン,Grotadmorv,Sleimok,Muk,Muk,질뻐기,臭臭泥,臭臭泥
NAME_PkMn_SHELLDER,Shellder,シェルダー,Kokiyas,Muschas,Shellder,Shellder,셀러,大舌貝,大舌贝
NAME_PkMn_CLOYSTER,Cloyster,パルシェン,Crustabri,Austos,Cloyster,Cloyster,파르셀,刺甲貝,刺甲贝
NAME_PkMn_GASTLY,Gastly,ゴース,Fantominus,Nebulak,Gastly,Gastly,고오스,鬼斯,鬼斯
NAME_PkMn_HAUNTER,Haunter,ゴースト,Spectrum,Apollo,Haunter,Haunter,고우스트,鬼斯通,鬼斯通
NAME_PkMn_GENGAR,Gengar,ゲンガー,Ectoplasma,Gengar,Gengar,Gengar,팬텀,耿鬼,耿鬼
NAME_PkMn_ONIX,Onix,イワーク,Onix,Onix,Onix,Onix,롱스톤,大岩蛇,大岩蛇
NAME_PkMn_DROWZEE,Drowzee,スリープ,Soporifik,Traumato,Drowzee,Drowzee,슬리프,催眠貘,催眠貘
NAME_PkMn_HYPNO,Hypno,スリーパー,Hypnomade,Hypno,Hypno,Hypno,슬리퍼,引夢貘人,引梦貘人
NAME_PkMn_KRABBY,Krabby,クラブ,Krabby,Krabby,Krabby,Krabby,크랩,大鉗蟹,大钳蟹
NAME_PkMn_KINGLER,Kingler,キングラー,Krabboss,Kingler,Kingler,Kingler,킹크랩,巨鉗蟹,巨钳蟹
NAME_PkMn_VOLTORB,Voltorb,ビリリダマ,Voltorbe,Voltobal,Voltorb,Voltorb,찌리리공,霹靂電球,霹雳电球
NAME_PkMn_ELECTRODE,Electrode,マルマリン,Électrode,Lektrobal,Electrode,Electrode,붐볼,頑皮雷彈,顽皮雷弹
NAME_PkMn_EXEGGCUTE,Exeggcute,タマタマ,Noeunoeuf,Owei,Exeggcute,Exeggcute,아라리,蛋蛋,蛋蛋
NAME_PkMn_EXEGGUTOR,Exeggutor,ナッシー,Noadkoko,Kokowei,Exeggutor,Exeggutor,나시,椰蛋樹,椰蛋树
NAME_PkMn_CUBONE,Cubone,カラカラ,Osselait,Tragosso,Cubone,Cubone,탕구리,卡拉卡拉,卡拉卡拉
NAME_PkMn_MAROWAK,Marowak,ガラガラ,Ossatueur,Knogga,Marowak,Marowak,텅구리,嘎啦嘎啦,嘎啦嘎啦
NAME_PkMn_HITMONLEE,Hitmonlee,サワムラー,Kicklee,Kicklee,Hitmonlee,Hitmonlee,시라소몬,飛腿郎,飞腿郎
NAME_PkMn_HITMONCHAN,Hitmonchan,エビワラー,Tygnon,Nokchan,Hitmonchan,Hitmonchan,홍수몬,快拳郎,快拳郎
NAME_PkMn_LICKITUNG,Lickitung,ベロリンガ,Excelangue,Schlurp,Lickitung,Lickitung,내루미,大舌頭,大舌头
NAME_PkMn_KOFFING,Koffing,ドガース,Smogo,Smogon,Koffing,Koffing,또가스,瓦斯彈,瓦斯弹
NAME_PkMn_WEEZING,Weezing,マタドカース,Smogogo,Smogmog,Weezing,Weezing,또도가스,雙彈瓦斯,双弹瓦斯
NAME_PkMn_RHYHORN,Rhyhorn,サイホーン,Rhinocorne,Rihorn,Rhyhorn,Rhyhorn,뿔카노,獨角犀牛,独角犀牛
NAME_PkMn_RHYDON,Rhydon,サイドン,Rhinoféros,Rizeros,Rhydon,Rhydon,코뿌리,鑽角犀獸,钻角犀兽
NAME_PkMn_CHANSEY,Chansey,ラッキ,Leveinard,Chaneira,Chansey,Chansey,럭키,吉利蛋,吉利蛋
NAME_PkMn_TANGELA,Tangela,モンジャラ,Saquedeneu,Tangela,Tangela,Tangela,덩구리,蔓藤怪,蔓藤怪
NAME_PkMn_KANGASKHAN,Kangaskhan,ガルーラ,Kangourex,Kangama,Kangaskhan,Kangaskhan,캥카,袋獸,袋兽
NAME_PkMn_HORSEA,Horsea,タッツー,Hypotrempe,Seeper,Horsea,Horsea,쏘드라,墨海馬,墨海马
NAME_PkMn_SEADRA,Seadra,シードラ,Hypocéan,Seemon,Seadra,Seadra,시드라,海刺龍,海刺龙
NAME_PkMn_GOLDEEN,Goldeen,トサキント,Poissirène,Goldini,Goldeen,Goldeen,콘치,角金魚,角金鱼
NAME_PkMn_SEAKING,Seaking,アズマオウ,Poissoroy,Golking,Seaking,Seaking,왕콘치,金魚王,金鱼王
NAME_PkMn_STARYU,Staryu,ヒトデマン,Stari,Sterndu,Staryu,Staryu,별가사리,海星星,海星星
NAME_PkMn_STARMIE,Starmie,スターミー,Staross,Starmie,Starmie,Starmie,아쿠스타,寶石海星,宝石海星
NAME_PkMn_MRMIME,Mr. Mime,バリヤード,M. Mime,Pantimos,Mr. Mime,Mr. Mime,마임맨,魔牆人偶,魔墙人偶
NAME_PkMn_SCYTHER,Scyther,ストライク,Insécateur,Sichlor,Scyther,Scyther,스라크,飛天螳螂,飞天螳螂
NAME_PkMn_JYNX,Jynx,ルージュラ,Lippoutou,Rossana,Jynx,Jynx,루주라,迷唇姐,迷唇姐
NAME_PkMn_ELECTABUZZ,Electabuzz,エレブー,Élektek,Elektek,Electabuzz,Electabuzz,에레브,電擊獸,电击兽
NAME_PkMn_MAGMAR,Magmar,ブーバー,Magmar,Magmar,Magmar,Magmar,마그마,鴨嘴火獸,鸭嘴火兽
NAME_PkMn_PINISIR,Pinisir,カイロス,Scarabrute,Pinisir,Pinisir,Pinisir,쁘사이저,凱羅斯,凯罗斯
NAME_PkMn_TAUROS,Tauros,ケンタロス,Tauros,Tauros,Tauros,Tauros,켄타로스,肯泰羅,肯泰罗
NAME_PkMn_MAGIKARP,Magikarp,コイキング,Magicarpe,Magikarp,Magikarp,Magikarp,잉어킹,鯉魚王,鲤鱼王
NAME_PkMn_GYRADOS,Gyrados,ギャラドス,Léviator,Garados,Gyrados,Gyrados,갸라도스,暴鯉龍,暴鲤龙
NAME_PkMn_LAPRAS,Lapras,ラプラス,Lokhlass,Lapras,Lapras,Lapras,라프라스,拉普拉斯,拉普拉斯
NAME_PkMn_DITTO,Ditto,メタモン,Métamorph,Ditto,Ditto,Ditto,메타몽,百變怪,百变怪
NAME_PkMn_EEVEE,Eevee,イーブイ,Évoli,Evoli,Eevee,Eevee,이브이,伊布,伊布
NAME_PkMn_VAPOREON,Vaporeon,シャワーズ,Aquali,Aquana,Vaporeon,Vaporeon,샤미드,水伊布,水伊布
NAME_PkMn_JOLTEON,Jolteon,サンダース,Voltali,Blitza,Jolteon,Jolteon,쥬피썬더,雷伊布,雷伊布
NAME_PkMn_FLAREON,Flareon,ブースター,Pyroli,Flamara,Flareon,Flareon,부스터,火伊布,火伊布
NAME_PkMn_PORYGON,Porygon,ポリゴン,Porygon,Porygon,Porygon,Porygon,폴리곤,多邊獸,多边兽
NAME_PkMn_OMANYTE,Omanyte,オムナイト,Amonita,Amonitas,Omanyte,Omanyte,암나이트,菊石獸,菊石兽
NAME_PkMn_OMASTAR,Omastar,オムスター,Amonistar,Amoroso,Omastar,Omastar,암스타,多刺菊石獸,多刺菊石兽
NAME_PkMn_KABUTO,Kabuto,カブト,Kabuto,Kabuto,Kabuto,Kabuto,투구,化石盔,化石盔
NAME_PkMn_KABUTOPS,Kabutops,カブトプス,Kabutops,Kabutops,Kabutops,Kabutops,투구푸스,鐮刀盔,镰刀盔
NAME_PkMn_AERODACTYL,Aerodactyl,プテラ,Ptéra,Aerodactyl,Aerodactyl,Aerodactyl,프테라,化石翼龍,化石翼龙
NAME_PkMn_SNORLAX,Snorlax,カビゴン,Ronflex,Relaxo,Snorlax,Snorlax,잠만보,卡比獸,卡比兽
NAME_PkMn_ARTICUNO,Articuno,フリーザー,Artikodin,Arktos,Articuno,Articuno,프리져,急凍鳥,急冻鸟
NAME_PkMn_ZAPDOS,Zapdos,サンダー,Électhor,Zapdos,Zapdos,Zapdos,썬더,閃電鳥,闪电鸟
NAME_PkMn_MOLTRES,Moltres,ファイヤー,Sulfura,Lavados,Moltres,Moltres,파이어,火焰鳥,火焰鸟
NAME_PkMn_DRATINI,Dratini,ミニリュウ,Minidraco,Dratini,Dratini,Dratini,미뇽,迷你龍,迷你龙
NAME_PkMn_DRAGONAIR,Dragonair,ハクリュー,Draco,Dragonir,Dragonair,Dragonair,신뇽,哈克龍,哈克龙
NAME_PkMn_DRAGONITE,Dragonite,カイリュー,Dracolosse,Dragoran,Dragonite,Dragonite,망나뇽,快龍,快龙
NAME_PkMn_MEWTWO,Mewtwo,ミュウツー,Mewtwo,Mewtu,Mewtwo,Mewtwo,뮤츠,超夢,超梦
NAME_PkMn_MEW,Mew,ミュウ,Mew,Mew,Mew,Mew,뮤,夢幻,梦幻
NAME_PkMn_CHIKORITA,Chikorita,チコリータ,Germinion,Endivie,Chikorita,Chikorita,치코리타,菊草葉,菊草叶
NAME_PkMn_BAYLEEF,Bayleef,ベイリーフ,Macronium,Lorblatt,Bayleef,Bayleef,베이리프,月桂葉,月桂叶
NAME_PkMn_MEGANIUM,Meganium,メガニウム,Méganium,Meganie,Meganium,Meganium,메가니움,大竺葵,大竺葵
NAME_PkMn_CYNDAQUIL,Cyndaquil,ヒノアラシ,Héricendre,Feuriegel,Cyndaquil,Cyndaquil,브케인,火球鼠,火球鼠
NAME_PkMn_QUILAVA,Quilava,マグマラシ,Feurisson,Igelavar,Quilava,Quilava,마그케인,火岩鼠,火岩鼠
NAME_PkMn_TYPHLOSION,Typhlosion,バクフーン,Typhlosion,Tornupto,Typhlosion,Typhlosion,블레이범,火爆獸,火爆兽
NAME_PkMn_TOTODILE,Totodile,ワニノコ,Kaiminus,Karnimani,Totodile,Totodile,리아코,小鋸鱷,小锯鳄
NAME_PkMn_CROCONAW,Croconaw,アリゲイツ,Crocrodil,Tyracroc,Croconaw,Croconaw,엘리게이,藍鱷,蓝鳄
NAME_PkMn_FERALIGATR,Feraligatr,オーダイル,Aligatueur,Impergator,Feraligatr,Feraligatr,장크로다일,大力鱷,大力鳄
NAME_PkMn_SENTRET,Sentret,オタチ,Fouinette,Wiesor,Sentret,Sentret,꼬리선,尾立,尾立
NAME_PkMn_FURRET,Furret,オオタチ,Fouinar,Wiesenior,Furret,Furret,다꼬리,大尾立,大尾立
NAME_PkMn_HOOTHOOT,Hoothoot,ホホーホー,Hoothoot,Hoothoot,Hoothoot,Hoothoot,부우부,咕咕,咕咕
NAME_PkMn_NOCTOWL,Noctowl,ヨルノズク,Noarfang,Noctuh,Noctowl,Noctowl,야부엉,貓頭夜鷹,猫头夜鹰
NAME_PkMn_LEDYBA,Ledyba,レディバ,Coxy,Ledyba,Ledyba,Ledyba,레디바,芭瓢蟲,芭瓢虫
NAME_PkMn_LEDIAN,Ledian,レディアン,Coxyclaque,Ledian,Ledian,Ledian,레디안,安瓢蟲,安瓢虫
NAME_PkMn_SPINARAK,Spinarak,イトマル,Mimigal,Webarak,Spinarak,Spinarak,페이검,圓絲蛛,圆丝蛛
NAME_PkMn_ARIADOS,Ariados,アリアドス,Migalos,Ariados,Ariados,Ariados,아리아도스,阿利多斯,阿利多斯
NAME_PkMn_CROBAT,Crobat,クロバット,Nostenfer,Iksbat,Crobat,Crobat,크로뱃,叉字蝠,叉字蝠
NAME_PkMn_CHINCHOU,Chinchou,チョンチー,Loupio,Lampi,Chinchou,Chinchou,초라기,燈籠魚,灯笼鱼
NAME_PkMn_LANTURN,Lanturn,ランターン,Lanturn,Lanturn,Lanturn,Lanturn,랜턴,電燈怪,电灯怪
NAME_PkMn_PICHU,Pichu,ピチュウ,Pichu,Pichu,Pichu,Pichu,피츄,皮丘,皮丘
NAME_PkMn_CLEFFA,Cleffa,ピィ,Mélo,Pii,Cleffa,Cleffa,삐,皮寶寶,皮宝宝
NAME_PkMn_IGGLYBUFF,Igglybuff,ププリン,Toudoudou,Fluffefeluff,Igglybuff,Igglybuff,푸푸린,寶寶丁,宝宝丁
NAME_PkMn_TOGEPI,Togepi,トゲピー,Togepi,Togepi,Togepi,Togepi,토게피,波克比,波克比
NAME_PkMn_TOGETIC,Togetic,トゲチック,Togetic,Togetic,Togetic,Togetic,토게틱,波克基古,波克基古
NAME_PkMn_NATU,Natu,ネイチィ,Natu,Natu,Natu,Natu,네이티,天然雀,天然雀
NAME_PkMn_XATU,Xatu,ネイチィオ,Xatu,Xatu,Xatu,Xatu,네이티오,天然鳥,天然鸟
NAME_PkMn_MAREEP,Mareep,メリープ,Wattouat,Voltilamm,Mareep,Mareep,메리프,咩利羊,咩利羊
NAME_PkMn_FLAAFFY,Flaaffy,モココ,Lainergie,Waaty,Flaaffy,Flaaffy,보송송,茸茸羊,茸茸羊
NAME_PkMn_AMPHAROS,Ampharos,デンリュウ,Pharamp,mpharos,Ampharos,Ampharos,전룡,電龍,电龙
NAME_PkMn_BELLOSSOM,Bellossom,キレイハナ,Joliflor,Blubella,Bellossom,Bellossom,아르코,美麗花,美丽花
NAME_PkMn_MARILL,Marill,マリル,Marill,Marill,Marill,Marill,마릴,瑪力露,玛力露
NAME_PkMn_AZUMARILL,Azumarill,マリルリ,Azumarill,Azumarill,Azumarill,Azumarill,마릴리,瑪力露麗,玛力露丽
NAME_PkMn_SUDOWOODO,Sudowoodo,ウソッキー,Simularbre,Mogelbaum,Sudowoodo,Sudowoodo,꼬지모,樹才怪,树才怪
NAME_PkMn_POLITOED,Politoed,ニョロトノ,Tarpaud,Quaxo,Politoed,Politoed,왕구리,蚊香蛙皇,蚊香蛙皇
NAME_PkMn_HOPPIP,Hoppip,ハネッコ,Granivol,Hoppspross,Hoppip,Hoppip,통통코,毽子草,毽子草
NAME_PkMn_SKIPLOOM,Skiploom,ポポッコ,Floravol,Hubelupf,Skiploom,Skiploom,두코,毽子花,毽子花
NAME_PkMn_JUMPLUFF,Jumpluff,ワタッコ,Cotovol,Papungha,Jumpluff,Jumpluff,솜솜코,毽子棉,毽子棉
NAME_PkMn_AIPOM,Aipom,エイパム,Capumain,Griffel,Aipom,Aipom,에이팜,長尾怪手,长尾怪手
NAME_PkMn_SUNKERN,Sunkern,ヒマナッツ,Tournegrain,Sonnkern,Sunkern,Sunkern,해너츠,向日種子,向日种子
NAME_PkMn_SUNFLORA,Sunflora,キミワリ,Héliatronc,Sonflora,Sunflora,Sunflora,해루미,向日花怪,向日花怪
NAME_PkMn_YANMA,Yanma,ヤンヤンマ,Yanma,Yanma,Yanma,Yanma,왕자리,蜻蜻蜓,蜻蜻蜓
NAME_PkMn_WOOPER,Wooper,ウパー,Axoloto,Felino,Wooper,Wooper,우파,烏波,乌波
NAME_PkMn_QUAGSIRE,Quagsire,ヌオー,Maraiste,Morlord,Quagsire,Quagsire,누오,沼王,沼王
NAME_PkMn_ESPEON,Espeon,エーフィ,Mentali,Psiana,Espeon,Espeon,에브이,太陽伊布,太阳伊布
NAME_PkMn_UMBREON,Umbreon,ブラッキー,Noctali,Nachtara,Umbreon,Umbreon,블래키,月亮伊布,月亮伊布
NAME_PkMn_MURKROW,Murkrow,ヤミカラス,Cornèbre,Kramurx,Murkrow,Murkrow,니로우,黑暗鴉,黑暗鸦
NAME_PkMn_SLOWKING,Slowking,ヤドキング,Roigada,Laschoking,Slowking,Slowking,야도킹,呆呆王,呆呆王
NAME_PkMn_MISDREAVUS,Misdreavus,ムウマ,Feuforève,Traunmagil,Misdreavus,Misdreavus,무우마,夢妖,梦妖
NAME_PkMn_UNOWN,Unown,アンノーン,Zarbi,Icognito,Unown,Unown,안농,未知圖騰,未知图腾
NAME_PkMn_WOBBUFFET,Wobbuffet,ソーナンス,Qulbutoké,Woingenau,Wobbuffet,Wobbuffet,마자용,果然翁,果然翁
