No.,Japanese,English
452,ドラピオン,Drapion
453,グレッグル,Croagunk
454,ドクロッグ,Toxicroak
455,マスキッパ,Carnivine
456,ケイコウオ,Finneon
457,ネオラント,Lumineon
458,タマンタ,Mantyke
459,ユキカブリ,Snover
460,ユキノオー,Abomasnow
461,マニューラ,Weavile
462,ジバコイル,Magnezone
463,ベロベルト,Lickilicky
464,ドサイドン,Rhyperior
465,モジャンボ,Tangrowth
466,エレキブル,Electivire
467,ブーバーン,Magmortar
468,トゲキッス,Togekiss
469,メガヤンマ,Yanmega
470,リーフィア,Leafeon
471,グレイシア,Glaceon
472,グライオン,Gliscor
473,マンムー,Mamoswine
474,ポリゴンＺ,Porygon-Z
475,エルレイド,Gallade
476,ダイノーズ,Probopass
477,ヨノワール,Dusknoir
478,ユキメノコ,Froslass
479,ロトム,Rotom
480,ユクシー,Uxie
481,エムリット,Mesprit
482,アグノム,Azelf
483,ディアルガ,Dialga
484,パルキア,Palkia
485,ヒードラン,Heatran
486,レジギガス,Regigigas
487,ギラティナ,Giratina
488,クレセリア,Cresselia
489,フィオネ,Phione
490,マナフィ,Manaphy
491,ダークライ,Darkrai
492,シェイミ,Shaymin
493,アルセウス,Arceus
494,ビクティニ,Victini
495,ツタージャ,Snivy
496,ジャノビー,Servine
497,ジャローダ,Serperior
498,ポカブ,Tepig
499,チャオブー,Pignite
500,エンブオー,Emboar
501,ミジュマル,Oshawott
502,フタチマル,Dewott
503,ダイケンキ,Samurott
504,ミネズミ,Patrat
505,ミルホッグ,Watchog
506,ヨーテリー,Lillipup
507,ハーデリア,Herdier
508,ムーランド,Stoutland
509,チョロネコ,Purrloin
510,レパルダス,Liepard
511,ヤナップ,Pansage
512,ヤナッキー,Simisage
513,バオップ,Pansear
514,バオッキー,Simisear
515,ヒヤップ,Panpour
516,ヒヤッキー,Simipour
517,ムンナ,Munna
518,ムシャーナ,Musharna
519,マメパト,Pidove
520,ハトーボー,Tranquill
521,ケンホロウ,Unfezant
522,シママ,Blitzle
523,ゼブライカ,Zebstrika
524,ダンゴロ,Roggenrola
525,ガントル,Boldore
526,ギガイアス,Gigalith
527,コロモリ,Woobat
528,ココロモリ,Swoobat
529,モグリュー,Drilbur
530,ドリュウズ,Excadrill
531,タブンネ,Audino
532,ドッコラー,Timburr
533,ドテッコツ,Gurdurr
534,ローブシン,Conkeldurr
535,オタマロ,Tympole
536,ガマガル,Palpitoad
537,ガマゲロゲ,Seismitoad
538,ナゲキ,Throh
539,ダゲキ,Sawk
540,クルミル,Sewaddle
541,クルマユ,Swadloon
542,ハハコモリ,Leavanny
543,フシデ,Venipede
544,ホイーガ,Whirlipede
545,ペンドラー,Scolipede
546,モンメン,Cottonee
547,エルフーン,Whimsicott
548,チュリネ,Petilil
549,ドレディア,Lilligant
550,バスラオ,Basculin
551,メグロコ,Sandile
552,ワルビル,Krokorok
553,ワルビアル,Krookodile
554,ダルマッカ,Darumaka
555,ヒヒダルマ,Darmanitan
556,マラカッチ,Maractus
557,イシズマイ,Dwebble
558,イワパレス,Crustle
559,ズルッグ,Scraggy
560,ズルズキン,Scrafty
561,シンボラー,Sigilyph
562,デスマス,Yamask
563,デスカーン,Cofagrigus
564,プロトーガ,Tirtouga
565,アバゴーラ,Carracosta
566,アーケン,Archen
567,アーケオス,Archeops
568,ヤブクロン,Trubbish
569,ダストダス,Garbodor
570,ゾロア,Zorua
571,ゾロアーク,Zoroark
572,チラーミィ,Minccino
573,チラチーノ,Cinccino
574,ゴチム,Gothita
575,ゴチミル,Gothorita
576,ゴチルゼル,Gothitelle
577,ユニラン,Solosis
578,ダブラン,Duosion
579,ランクルス,Reuniclus
580,コアルヒー,Ducklett
581,スワンナ,Swanna
582,バニプッチ,Vanillite
583,バニリッチ,Vanillish
584,バイバニラ,Vanilluxe
585,シキジカ,Deerling
586,メブキジカ,Sawsbuck
587,エモンガ,Emolga
588,カブルモ,Karrablast
589,シュバルゴ,Escavalier
590,タマゲタケ,Foongus
591,モロバレル,Amoonguss
592,プルリル,Frillish
593,ブルンゲル,Jellicent
594,ママンボウ,Alomomola
595,バチュル,Joltik
596,デンチュラ,Galvantula
597,テッシード,Ferroseed
598,ナットレイ,Ferrothorn
599,ギアル,Klink
600,ギギアル,Klang
601,ギギギアル,Klinklang
602,シビシラス,Tynamo
603,シビビール,Eelektrik
604,シビルドン,Eelektross
605,リグレー,Elgyem
606,オーベム,Beheeyem
607,ヒトモシ,Litwick
608,ランプラー,Lampent
609,シャンデラ,Chandelure
610,キバゴ,Axew
611,オノンド,Fraxure
612,オノノクス,Haxorus
613,クマシュン,Cubchoo
614,ツンベアー,Beartic
615,フリージオ,Cryogonal
616,チョボマキ,Shelmet
617,アギルダー,Accelgor
618,マッギョ,Stunfisk
619,コジョフー,Mienfoo
620,コジョンド,Mienshao
621,クリムガン,Druddigon
622,ゴビット,Golett
623,ゴルーグ,Golurk
624,コマタナ,Pawniard
625,キリキザン,Bisharp
626,バッフロン,Bouffalant
627,ワシボン,Rufflet
628,ウォーグル,Braviary
629,バルチャイ,Vullaby
630,バルジーナ,Mandibuzz
631,クイタラン,Heatmor
632,アイアント,Durant
633,モノズ,Deino
634,ジヘッド,Zweilous
635,サザンドラ,Hydreigon
636,メラルバ,Larvesta
637,ウルガモス,Volcarona
638,コバルオン,Cobalion
639,テラキオン,Terrakion
640,ビリジオン,Virizion
641,トルネロス,Tornadus
642,ボルトロス,Thundurus
643,レシラム,Reshiram
644,ゼクロム,Zekrom
645,ランドロス,Landorus
646,キュレム,Kyurem
647,ケルディオ,Keldeo
648,メロエッタ,Meloetta
649,ゲノセクト,Genesect
650,ハリマロン,Chespin
651,ハリボーグ,Quilladin
652,ブリガロン,Chesnaught
653,フォッコ,Fennekin
654,テールナー,Braixen
655,マフォクシー,Delphox
656,ケロマツ,Froakie
657,ゲコガシラ,Frogadier
658,ゲッコウガ,Greninja
659,ホルビー,Bunnelby
660,ホルード,Diggersby
661,ヤヤコマ,Fletchling
662,ヒノヤコマ,Fletchinder
663,ファイアロー,Talonflame
664,コフキムシ,Scatterbug
665,コフーライ,Spewpa
666,ビビヨン,Vivillon
667,シシコ,Litleo
668,カエンジシ,Pyroar
669,フラベベ,Flabebe
670,フラエッテ,Floette
671,フラージェス,Florges
672,メェークル,Skiddo
673,ゴーゴート,Gogoat
674,ヤンチャム,Pancham
675,ゴロンダ,Pangoro
676,トリミアン,Furfrou
677,ニャスパー,Espurr
678,ニャオニクス,Meowstic
679,ヒトツキ,Honedge
680,ニダンギル,Doublade
681,ギルガルド,Aegislash
682,シュシュプ,Spritzee
683,フレフワン,Aromatisse
684,ペロッパフ,Swirlix
685,ペロリーム,Slurpuff
686,マーイーカ,Inkay
687,カラマネロ,Malamar
688,カメテテ,Binacle
689,ガメノデス,Barbaracle
690,クズモー,Skrelp
691,ドラミドロ,Dragalge
692,ウデッポウ,Clauncher
693,ブロスター,Clawitzer
694,エリキテル,Helioptile
695,エレザード,Heliolisk
696,チゴラス,Tyrunt
697,ガチゴラス,Tyrantrum
698,アマルス,Amaura
699,アマルルガ,Aurorus
700,ニンフィア,Sylveon
701,ルチャブル,Hawlucha
702,デデンネ,Dedenne
703,メレシー,Carbink
704,ヌメラ,Goomy
705,ヌメイル,Sliggoo
706,ヌメルゴン,Goodra
707,クレッフィ,Klefki
708,ボクレー,Phantump
709,オーロット,Trevenant
710,バケッチャ,Pumpkaboo
711,パンプジン,Gourgeist
712,カチコール,Bergmite
713,クレベース,Avalugg
714,オンバット,Noibat
715,オンバーン,Noivern
716,ゼルネアス,Xerneas
717,イベルタル,Yveltal
718,ジガルデ,Zygarde
719,ディアンシー,Diancie
720,フーパ,Hoopa
721,ボルケニオン,Volcanion
722,モクロー,Rowlet
723,フクスロー,Dartrix
724,ジュナイパー,Decidueye
725,ニャビー,Litten
726,ニャヒート,Torracat
727,ガオガエン,Incineroar
728,アシマリ,Popplio
729,オシャマリ,Brionne
730,アシレーヌ,Primarina
731,ツツケラ,Pikipek
732,ケララッパ,Trumbeak
733,ドデカバシ,Toucannon
734,ヤングース,Yungoos
735,デカグース,Gumshoos
736,アゴジムシ,Grubbin
737,デンヂムシ,Charjabug
738,クワガノン,Vikavolt
739,マケンカニ,Crabrawler
740,ケケンカニ,Crabominable
741,オドリドリ,Oricorio
742,アブリー,Cutiefly
743,アブリボン,Ribombee
744,イワンコ,Rockruff
745,ルガルガン,Lycanroc
746,ヨワシ,Wishiwashi
747,ヒドイデ,Mareanie
748,ドヒドイデ,Toxapex
749,ドロバンコ,Mudbray
750,バンバドロ,Mudsdale
751,シズクモ,Dewpider
752,オニシズクモ,Araquanid
753,カリキリ,Fomantis
754,ラランテス,Lurantis
755,ネマシュ,Morelull
756,マシェード,Shiinotic
757,ヤトウモリ,Salandit
758,エンニュート,Salazzle
759,ヌイコグマ,Stufful
760,キテルグマ,Bewear
761,アマカジ,Bounsweet
762,アママイコ,Steenee
763,アマージョ,Tsareena
764,キュワワー,Comfey
765,ヤレユータン,Oranguru
766,ナゲツケサル,Passimian
767,コソクムシ,Wimpod
768,グソクムシャ,Golisopod
769,スナバァ,Sandygast
770,シロデスナ,Palossand
771,ナマコブシ,Pyukumuku
772,タイプ：ヌル,Type: Null
773,シルヴァディ,Silvally
774,メテノ,Minior
775,ネッコアラ,Komala
776,バクガメス,Turtonator
777,トゲデマル,Togedemaru
778,ミミッキュ,Mimikyu
779,ハギギシリ,Bruxish
780,ジジーロン,Drampa
781,ダダリン,Dhelmise
782,ジャラコ,Jangmo-o
783,ジャランゴ,Hakamo-o
784,ジャラランガ,Kommo-o
785,カプ・コケコ,Tapu Koko
786,カプ・テテフ,Tapu Lele
787,カプ・ブルル,Tapu Bulu
788,カプ・レヒレ,Tapu Fini
789,コスモッグ,Cosmog
790,コスモウム,Cosmoem
791,ソルガレオ,Solgaleo
792,ルナアーラ,Lunala
793,ウツロイド,Nihilego
794,マッシブーン,Buzzwole
795,フェローチェ,Pheromosa
796,デンジュモク,Xurkitree
797,テッカグヤ,Celesteela
798,カミツルギ,Kartana
799,アクジキング,Guzzlord
800,ネクロズマ,Necrozma
801,マギアナ,Magearna
802,マーシャドー,Marshadow
803,ベベノム,Poipole
804,アーゴヨン,Naganadel
805,ツンデツンデ,Stakataka
806,ズガドーン,Blacephalon
807,ゼラオラ,Zeraora
808,メルタン,Meltan
809,メルメタル,Melmetal
810,サルノリ,Grookey
811,バチンキー,Thwackey
812,ゴリランダー,Rillaboom
813,ヒバニー,Scorbunny
814,ラビフット,Raboot
815,エースバーン,Cinderace
816,メッソン,Sobble
817,ジメレオン,Drizzile
818,インテレオン,Inteleon
819,ホシガリス,Skwovet
820,ヨクバリス,Greedent
821,ココガラ,Rookidee
822,アオガラス,Corvisquire
823,アーマーガア,Corviknight
824,サッチムシ,Blipbug
825,レドームシ,Dottler
826,イオルブ,Orbeetle
827,クスネ,Nickit
828,フォクスライ,Thievul
829,ヒメンカ,Gossifleur
830,ワタシラガ,Eldegoss
831,ウールー,Wooloo
832,バイウールー,Dubwool
833,カムカメ,Chewtle
834,カジリガメ,Drednaw
835,ワンパチ,Yamper
836,パルスワン,Boltund
837,タンドン,Rolycoly
838,トロッゴン,Carkol
839,セキタンザン,Coalossal
840,カジッチュ,Applin
841,アップリュー,Flapple
842,タルップル,Appletun
843,スナヘビ,Silicobra
844,サダイジャ,Sandaconda
845,ウッウ,Cramorant
846,サシカマス,Arrokuda
847,カマスジョー,Barraskewda
848,エレズン,Toxel
849,ストリンダー,Toxtricity
850,ヤクデ,Sizzlipede
851,マルヤクデ,Centiskorch
852,タタッコ,Clobbopus
853,オトスパス,Grapploct
854,ヤバチャ,Sinistea
855,ポットデス,Polteageist
856,ミブリム,Hatenna
857,テブリム,Hattrem
858,ブリムオン,Hatterene
859,ベロバー,Impidimp
860,ギモー,Morgrem
861,オーロンゲ,Grimmsnarl
862,タチフサグマ,Obstagoon
863,ニャイキング,Perrserker
864,サニゴーン,Cursola
865,ネギガナイト,Sirfetch'd
866,バリコオル,Mr. Rime
867,デスバーン,Runerigus
868,マホミル,Milcery
869,マホイップ,Alcremie
870,タイレーツ,Falinks
871,バチンウニ,Pincurchin
872,ユキハミ,Snom
873,モスノウ,Frosmoth
874,イシヘンジン,Stonjourner
875,コオリッポ,Eiscue
876,イエッサン,Indeedee
877,モルペコ,Morpeko
878,ゾウドウ,Cufant
879,ダイオウドウ,Copperajah
880,パッチラゴン,Dracozolt
881,パッチルドン,Arctozolt
882,ウオノラゴン,Dracovish
883,ウオチルドン,Arctovish
884,ジュラルドン,Duraludon
885,ドラメシヤ,Dreepy
886,ドロンチ,Drakloak
887,ドラパルト,Dragapult
888,ザシアン,Zacian
889,ザマゼンタ,Zamazenta
890,ムゲンダイナ,Eternatus
891,ダクマ,Kubfu
892,ウーラオス,Urshifu
893,ザルード,Zarude
894,レジエレキ,Regieleki
895,レジドラゴ,Regidrago
896,ブリザポス,Glastrier
897,レイスポス,Spectrier
898,バドレックス,Calyrex
899,アヤシシ,Wyrdeer
900,バサギリ,Kleavor
901,ガチグマ,Ursaluna
902,イダイトウ,Basculegion
903,オオニューラ,Sneasler
904,ハリーマン,Overqwil
905,ラブトロス,Enamorus
906,ニャオハ,Sprigatito
907,ニャローテ,Floragato
908,マスカーニャ,Meowscarada
909,ホゲータ,Fuecoco
910,アチゲータ,Crocalor
911,ラウドボーン,Skeledirge
912,クワッス,Quaxly
913,ウェルカモ,Quaxwell
914,ウェーニバル,Quaquaval
915,グルトン,Lechonk
916,パフュートン,Oinkologne
917,タマンチュラ,Tarountula
918,ワナイダー,Spidops
919,マメバッタ,Nymble
920,エクスレッグ,Lokix
921,パモ,Pawmi
922,パモット,Pawmo
923,パーモット,Pawmot
924,ワッカネズミ,Tandemaus
925,イッカネズミ,Maushold
926,パピモッチ,Fidough
927,バウッツェル,Dachsbun
928,ミニーブ,Smoliv
929,オリーニョ,Dolliv
930,オリーヴァ,Arboliva
931,イキリンコ,Squawkabilly
932,コジオ,Nacli
933,ジオヅム,Naclstack
934,キョジオーン,Garganacl
935,カルボウ,Charcadet
936,グレンアルマ,Armarouge
937,ソウブレイズ,Ceruledge
938,ズピカ,Tadbulb
939,ハラバリー,Bellibolt
940,カイデン,Wattrel
941,タイカイデン,Kilowattrel
942,オラチフ,Maschiff
943,マフィティフ,Mabosstiff
944,シルシュルー,Shroodle
945,タギングル,Grafaiai
946,アノクサ,Bramblin
947,アノホラグサ,Brambleghast
948,ノノクラゲ,Toedscool
949,リククラゲ,Toedscruel
950,ガケガニ,Klawf
951,カプサイジ,Capsakid
952,スコヴィラン,Scovillain
953,シガロコ,Rellor
954,ベラカス,Rabsca
955,ヒラヒナ,Flittle
956,クエスパトラ,Espathra
957,カヌチャン,Tinkatink
958,ナカヌチャン,Tinkatuff
959,デカヌチャン,Tinkaton
960,ウミディグダ,Wiglett
961,ウミトリオ,Wugtrio
962,オトシドリ,Bombirdier
963,ナミイルカ,Finizen
964,イルカマン,Palafin
965,ブロロン,Varoom
966,ブロロローム,Revavroom
967,モトトカゲ,Cyclizar
968,ミミズズ,Orthworm
969,キラーメ,Glimmet
970,キラフロル,Glimmora
971,ボチ,Greavard
972,ハカドッグ,Houndstone
973,カラミンゴ,Flamigo
974,アルクジラ,Cetoddle
